Store Name,Address,latitude,longitude
Seremban 2 DT,"Lot 50800, Persiaran Utama S2-3,Pusat Dagangan Section B Seremban 2,Negeri Sembilan 70300",2.6915465,101.9073652
Lotus’s Semenyih DT,"No. 1, Jalan TPS 1/1,Taman Pelangi Semenyih,Semenyih 43500",2.9320286,101.855539
AEON Mall Nilai,"G-37, Persiaran Pusat Bandar,Putra Point,Negeri Sembilan 71800",2.8179367,101.7898056
Mesa Mall DT,"G-02, Pusat Membeli-Belah Mesa,Pusat Perniagaan & Residensi Mesa, Persiaran Ilmu,Negeri Sembilan 71800",2.8249976,101.7778016
KL Sentral,"Unit 5, Arrival Hall, KL Sentral, Kuala Lumpur 50470",3.1347513,101.6872004
NU Sentral,"Lot no GF 05 & 06, Tingkat Bawah, NU Sentral , No. 201, Jalan Tun Sambathan,Kuala Lumpur 50470",3.1332338,101.6870525
NU Tower,"Level LG3, Menara Allianz Sentral, No. 203, Jalan Tun Sambanthan, Kuala Lumpur 50470",3.1323702,101.6866841
Straits Quay,"Lot Unit No. 3A-G-15, Block A, Ground Floor,Straits Quay, Seri Tanjung Pinang,Pulau Pinang 10470",5.458272399999999,100.3132491
1st Avenue,"Lot G-09 & G-10, Ground Floor,1st Avenue, 182 Jalan Magazine, Penang 10300",5.4130283,100.3311863
Mansion One,"Part of Lot 57-G-01, Mansion One,Jalan Sultan Ahmad Shah,Penang 10050",5.427590899999999,100.3204061
Green Hall,"Lot No. 1, Green HallGround FloorPenang 10200",5.421302600000001,100.3393387
Mahkota Parade,"Lot No. G17/EG2, No.1, Jalan MerdekaMelaka 75000",2.1884116,102.2501426
Dataran Pahlawan,"BX-001A & G-003A, Dataran Pahlawan Melaka Megamall,Jalan Merdeka,Melaka 75000",2.189751,102.252619
Melaka Raya,No. 161 Jalan MerdekaTaman Melaka RayaMelaka 75000,2.1860132,102.2602397
KTCC Mall,"Lot G-22, KTCC Mall,219 Jalan Sultan Zainal Abidin,Kuala Terengganu 20200",5.3333875,103.1497176
KSL Resort,"Lot G-H01 / H01A KSL Resort Lobby, Ground Floor, KSL City, No. 33, Jalan Seladang,Johor Bahru 80250",1.4854384,103.7628811
Petronas Ampang Jaya,"Petronas Service Station,Phrase 1,GF Lot 36904 (PT27423), Taman Dato' Ahmad RazaliSelangor 68000",32.1395316,-88.22664340000001
Aeon Rawang,"Lot G62, Ground Floor, Komplex Beli Belah Aeon Anggun Rawang,No. 1, Persiaran Anggun, Taman Anggun,Selangor 48000",3.3173712,101.5365756
Petronas Rawang R&R DT,"Kawasan Rehat & Rawat Rawang, Lebuhraya Utara - Selatan(Arah Utara) RawangSelangor 48000",3.330024,101.558151
AEON Kepong,"Lot G36, Ground Floor,AEON Metro Prima Shopping Centre,Kuala Lumpur 52100",3.2130827,101.6389626
Megamall Kuantan,"Lot G15, Ground Floor, Berjaya Megamall,Jalan Tun Ismail, Sri DaganganPahang 25000",3.8152359,103.3300424
East Coast Mall,"Unit GF-06, Ground Floor, East Coast Mall,Jalan Putra Square 6, Putra SquarePahang 25200",3.8180373,103.3269465
Kuantan Indera Mahkota DT,"Starbucks Coffee Drive-Thru,Jalan IM 7/14, Bandar Indera Mahkota, Pahang 25200",3.834160199999999,103.2999812
Teluk Cempedak,"Lot No. 1&2, Pusat Rekreasi, Teluk Cempedak,Jalan Tengku Abu Bakar,Pahang 25050",3.8123014,103.3720615
Kota Raya,"Kiosk G1 Sidewalk Café Kota Raya ComplexJalan Tun Tan Cheng Lock,Kuala Lumpur 50450",3.1456974,101.6982948
Genting 1 ,"Level T1, Lot F/L 1.4, First World Hotel,Genting Highlands Resort, Pahang 69000",3.4255624,101.7945541
Plaza Berjaya ,"Kiosk 1, Ground Floor, Plaza Berjaya,No. 12, Jalan Imbi,Kuala Lumpur 55100",3.1446175,101.713368
Genting 3,"Lot H/LG 6.00, Level Lower Ground, Highlands Hotel,Pahang 69000",3.4240849,101.7907212
The Curve,"G88, Ground Floor, The Curve, Mutiara Damansara,Selangor 47800",3.1579199,101.6120082
Kuala Lumpur Convention Centre ,"Lot C09, Concourse Floor, Kuala Lumpur Convention Centre,Kuala Lumpur 50088",3.1532671,101.7130429
"Borders, The Curve","Lot G16, Ground Floor, The Walk,Jalan PJU 7/3, Mutiara Damansara, Selangor 47800",3.1579199,101.6120082
Bangsar Village 2 ,"Lot No.2F-22 & K1, 2nd Floor, Bangsar Village II, No.2, Jalan Telawi Satu,Kuala Lumpur 59100",3.1303143,101.6712866
Sunway Carnival,"Lot No UG 27, Upper Ground Floor,Sunway Carnival Mall 3068, Jalan Todak Pusat Bandar Seberang JayaPenang 13700",5.3985132,100.3980465
Pavilion 2 ,"Lot No.6.02.00 Level 6,Pavilion Kuala Lumpur,Kuala Lumpur 55100",3.1488558,101.7132547
The Spring ,"Lot G10, First Floor, The Spring Shopping Centre,Lot 7196, Section 64, Kuching Town Land District,Sarawak 93350",1.5355458,110.3582016
KKIA,"Lot L3A01, Level 3, Airside, Terminal 1,Kota Kinabalu International Airport,Sabah 88740",5.9243739,116.0503624
The Zone,"Lot 1.31,1.31A,1.31B,1.32,1.33, Level 1The Zone Johor Bharu, 88 Jalan Ibrahim Sultan,Johor 80300",1.4711281,103.784589
