,location,date,icu_patients_per_million,quarter
6049,Austria,2020-04-01,23.872,2020Q2
6050,Austria,2020-04-02,24.316,2020Q2
6051,Austria,2020-04-03,27.203000000000003,2020Q2
6052,Austria,2020-04-04,27.203000000000003,2020Q2
6053,Austria,2020-04-05,27.092,2020Q2
6054,Austria,2020-04-06,27.758000000000003,2020Q2
6055,Austria,2020-04-07,26.980999999999998,2020Q2
6056,Austria,2020-04-08,29.646,2020Q2
6057,Austria,2020-04-09,29.535,2020Q2
6058,Austria,2020-04-10,28.979,2020Q2
6059,Austria,2020-04-11,27.203000000000003,2020Q2
6060,Austria,2020-04-12,26.980999999999998,2020Q2
6061,Austria,2020-04-13,26.537,2020Q2
6062,Austria,2020-04-14,26.980999999999998,2020Q2
6063,Austria,2020-04-15,25.759,2020Q2
6064,Austria,2020-04-16,26.426,2020Q2
6065,Austria,2020-04-17,25.204,2020Q2
6066,Austria,2020-04-18,23.095,2020Q2
6067,Austria,2020-04-19,22.651,2020Q2
6068,Austria,2020-04-20,21.54,2020Q2
6069,Austria,2020-04-21,21.761999999999997,2020Q2
6070,Austria,2020-04-22,19.542,2020Q2
6071,Austria,2020-04-23,18.764,2020Q2
6072,Austria,2020-04-24,17.320999999999998,2020Q2
6073,Austria,2020-04-25,16.433,2020Q2
6074,Austria,2020-04-26,16.1,2020Q2
6075,Austria,2020-04-27,15.545,2020Q2
6076,Austria,2020-04-28,15.1,2020Q2
6077,Austria,2020-04-29,14.545,2020Q2
6078,Austria,2020-04-30,14.212,2020Q2
6079,Austria,2020-05-01,13.767999999999999,2020Q2
6080,Austria,2020-05-02,12.658,2020Q2
6081,Austria,2020-05-03,12.658,2020Q2
6082,Austria,2020-05-04,12.325,2020Q2
6083,Austria,2020-05-05,11.547,2020Q2
6084,Austria,2020-05-06,10.77,2020Q2
6085,Austria,2020-05-07,10.215,2020Q2
6086,Austria,2020-05-08,8.994,2020Q2
6087,Austria,2020-05-09,8.772,2020Q2
6088,Austria,2020-05-10,7.994,2020Q2
6089,Austria,2020-05-11,7.55,2020Q2
6090,Austria,2020-05-12,6.551,2020Q2
6091,Austria,2020-05-13,6.107,2020Q2
6092,Austria,2020-05-14,5.996,2020Q2
6093,Austria,2020-05-15,5.218999999999999,2020Q2
6094,Austria,2020-05-16,5.5520000000000005,2020Q2
6095,Austria,2020-05-17,5.33,2020Q2
6096,Austria,2020-05-18,4.996,2020Q2
6097,Austria,2020-05-19,4.33,2020Q2
6098,Austria,2020-05-20,4.1080000000000005,2020Q2
6099,Austria,2020-05-21,3.553,2020Q2
6100,Austria,2020-05-22,3.4419999999999997,2020Q2
6101,Austria,2020-05-23,3.109,2020Q2
6102,Austria,2020-05-24,3.22,2020Q2
6103,Austria,2020-05-25,3.4419999999999997,2020Q2
6104,Austria,2020-05-26,3.553,2020Q2
6105,Austria,2020-05-27,3.553,2020Q2
6106,Austria,2020-05-28,3.3310000000000004,2020Q2
6107,Austria,2020-05-29,2.7760000000000002,2020Q2
6108,Austria,2020-05-30,2.5540000000000003,2020Q2
6109,Austria,2020-05-31,2.998,2020Q2
6110,Austria,2020-06-01,3.22,2020Q2
6111,Austria,2020-06-02,2.887,2020Q2
6112,Austria,2020-06-03,2.332,2020Q2
6113,Austria,2020-06-04,2.443,2020Q2
6114,Austria,2020-06-05,2.221,2020Q2
6115,Austria,2020-06-06,1.8880000000000001,2020Q2
6116,Austria,2020-06-07,1.8880000000000001,2020Q2
6117,Austria,2020-06-08,1.8880000000000001,2020Q2
6118,Austria,2020-06-09,2.11,2020Q2
6119,Austria,2020-06-10,1.8880000000000001,2020Q2
6120,Austria,2020-06-11,1.554,2020Q2
6121,Austria,2020-06-12,0.9990000000000001,2020Q2
6122,Austria,2020-06-13,1.11,2020Q2
6123,Austria,2020-06-14,1.3319999999999999,2020Q2
6124,Austria,2020-06-15,1.665,2020Q2
6125,Austria,2020-06-16,1.3319999999999999,2020Q2
6126,Austria,2020-06-17,1.2209999999999999,2020Q2
6127,Austria,2020-06-18,0.888,2020Q2
6128,Austria,2020-06-19,0.777,2020Q2
6129,Austria,2020-06-20,0.888,2020Q2
6130,Austria,2020-06-21,0.888,2020Q2
6131,Austria,2020-06-22,1.11,2020Q2
6132,Austria,2020-06-23,1.2209999999999999,2020Q2
6133,Austria,2020-06-24,1.2209999999999999,2020Q2
6134,Austria,2020-06-25,1.2209999999999999,2020Q2
6135,Austria,2020-06-26,1.11,2020Q2
6136,Austria,2020-06-27,1.11,2020Q2
6137,Austria,2020-06-28,0.9990000000000001,2020Q2
6138,Austria,2020-06-29,0.888,2020Q2
6139,Austria,2020-06-30,0.6659999999999999,2020Q2
6140,Austria,2020-07-01,0.9990000000000001,2020Q3
6141,Austria,2020-07-02,0.777,2020Q3
6142,Austria,2020-07-03,0.777,2020Q3
6143,Austria,2020-07-04,0.888,2020Q3
6144,Austria,2020-07-05,1.11,2020Q3
6145,Austria,2020-07-06,1.2209999999999999,2020Q3
6146,Austria,2020-07-07,1.11,2020Q3
6147,Austria,2020-07-08,1.2209999999999999,2020Q3
6148,Austria,2020-07-09,1.3319999999999999,2020Q3
6149,Austria,2020-07-10,0.9990000000000001,2020Q3
6150,Austria,2020-07-11,0.9990000000000001,2020Q3
6151,Austria,2020-07-12,1.11,2020Q3
6152,Austria,2020-07-13,0.888,2020Q3
6153,Austria,2020-07-14,0.9990000000000001,2020Q3
6154,Austria,2020-07-15,1.11,2020Q3
6155,Austria,2020-07-16,1.2209999999999999,2020Q3
6156,Austria,2020-07-17,1.2209999999999999,2020Q3
6157,Austria,2020-07-18,1.2209999999999999,2020Q3
6158,Austria,2020-07-19,1.554,2020Q3
