Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,gdp_2019,2020
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,6472.398709,7885.158927,9765.909207,11392.26915,12306.71768,13495.7943,14045.47457,14938.68157,16239.98785,16439.35636,16583.87586,17927.95944,19077.68743,19355.33354,20617.75047,20670.36701,20436.88713,20833.97636,22568.37499,23300.73836,24046.22638,25834.11178,27083.63486,24631.18205,23513.5277,24985.01392,24712.49326,26441.61994,26893.01151,28396.90842,28452.17061,29350.80502,30253.27936,,
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,147.4503693,146.8537009,156.017929,182.0440851,162.1695767,180.0173007,190.6362199,192.1262673,203.7834039,227.6587114,236.5337787,253.7284483,267.8373185,339.3872465,409.6685417,424.3373803,411.0623911,455.7538987,495.5466234,563.3845172,687.8003926,684.4539446,641.0801482,643.0978239,570.8205247,495.1211286,541.8333466,643.0956864,656.6264624,656.4657461,696.2238921,703.6546783,682.5868506,665.2429261,659.5899024,722.1697159,701.7341974,718.8542776,660.4719664,635.1433677,672.2054736,591.0884442,589.2068235,757.4497587,916.6033667,1037.727057,1142.955902,1278.971341,1356.529948,1326.251549,1550.121225,1682.287263,1667.992618,1648.867514,1654.314865,1503.859334,1401.281053,1536.206783,1530.161917,1481.425292,1326.663658
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,59.7732337,59.86089999,58.4580087,78.70642878,82.09530653,101.1083252,137.594298,160.8984342,129.108311,129.3297604,156.5187713,159.567509,135.317228,143.1446495,173.6536247,186.5108383,197.4455076,224.2250016,247.3540878,275.7381154,272.6555102,264.1111971,,,,,,,,,,,,,,,,,,,,,179.4265792,190.6838143,211.3820742,242.0313132,263.7336019,359.6931579,364.660679,438.0761424,543.3029674,591.1627983,641.871438,637.165464,613.8565052,578.4663529,509.2201005,519.8889126,493.7565814,507.1033919,508.8084095
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,107.9637786,113.114697,118.8658374,123.4789666,131.892939,138.5668194,144.3683946,128.620051,129.6789964,143.7576353,195.4906842,169.1685289,200.2269103,241.7820753,333.2898755,377.898463,444.5042983,454.9230878,482.6184998,584.5447854,718.901922,1317.316549,1136.794683,816.1392859,656.9047755,651.7004575,585.0782923,584.2900543,561.5255977,510.5683463,594.8995996,558.5990402,547.8230707,438.2623107,376.3549208,459.3649032,495.7790364,486.5230163,484.0907416,500.4361797,502.031662,516.9279338,605.0610071,681.8823592,826.8165382,988.8393936,1224.057612,1400.086007,1666.899847,1444.201899,1655.130138,1827.518347,1936.390962,2123.392433,2166.743309,1886.248158,1666.422406,1606.978332,1695.959215,1772.339155,1714.4268
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,711.4095786,642.7681968,620.3331234,623.8153624,638.0990068,758.7450632,685.7281277,756.7679262,792.8330172,891.1492803,948.338178,,,,251.0783484,398.7909982,522.6796243,514.3851744,423.619049,387.7851241,556.8386317,527.3335285,872.4944418,982.9610078,1255.564513,1902.42215,2599.565948,3121.996085,4080.941034,3122.781599,3587.883645,4615.468219,5100.097027,5254.881126,5408.4117,4166.979833,3506.073128,4095.810057,3289.643995,2809.626088,1895.770869
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,639.4847358,639.8659094,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4163396,750.6044492,1009.977668,717.3805674,813.7902636,1033.241693,1126.683318,1281.659393,1425.124849,1846.118813,2373.579844,2673.787283,2972.743265,3595.037163,4370.540127,4114.140114,4094.350334,4437.142885,4247.629984,4413.060861,4578.631994,3952.801215,4124.055726,4531.020806,5284.380184,5355.847795,5215.276752
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3238.690261,3496.532023,4218.271599,5342.16856,6320.809632,7169.101006,7151.249909,7751.843307,9127.81228,11818.47334,12378.78451,10372.78605,9610.020616,8025.207641,7728.906695,7775.614217,10361.14777,12615.12618,14304.6406,15165.28126,18878.85231,19534.26363,20549.80558,16515.6584,16235.06804,18458.17399,19016.28819,18355.62786,18895.11066,19262.30899,21854.2468,22970.51221,25067.24006,32272.84589,37966.18725,40064.22493,42674.75897,47804.84993,48719.65877,43504.21565,40850.24814,43334.81141,38686.46126,39540.72481,41303.92937,35770.7767,37475.63506,38964.90448,41791.96984,40897.33087,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,307.5869784,328.3193064,359.5469852,404.8275044,469.9740234,578.6952638,1063.545509,1143.761235,1377.560668,1536.229212,1632.798269,2138.824494,2802.494494,2801.160549,2549.407597,2324.846079,2288.086807,2198.46706,2038.489679,2112.07154,2019.827199,2060.161514,2750.960304,1857.821247,1952.888247,1925.113215,1930.002535,2044.925966,2191.201682,2309.370533,2182.007896,2377.023018,2678.314514,2536.786256,2484.845185,2696.046923,3134.872479,3765.927294,4360.06425,4963.699983,6149.711791,5180.55547,5948.674349,6870.098616,7455.041881,7505.174192,7436.580078,6346.032347,6093.331009,6095.66343,6568.984052,6570.174197,5802.104129
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,26848.08818,30117.94893,33823.18166,28457.07803,33512.63342,42764.54056,44987.53799,40025.82262,34843.15963,32309.83271,29720.89772,23467.87932,23726.30705,22295.11871,24028.2625,27729.39059,26612.25311,26420.85988,25596.73939,25848.01625,27221.93441,28975.07996,29512.67479,26899.60177,28470.88586,33291.36625,31280.75586,31567.54631,33499.10278,36333.18733,39365.45964,41907.42147,41809.46216,44498.94051,32024.19778,33893.26387,39194.67224,40976.49075,42412.6395,43751.80565,38663.4005,38141.86713,40644.79119,43839.32449,43103.33629,
